petromag_u,petromag_g,petromag_r,petromag_i,petromag_z,petror50_r,petror90_r,concentration,devab_r,u_g,g_r,r_i,i_z,target
19.50005,17.637796,16.656689,16.19503,15.859915,2.012818,7.194596,3.574389736180817,0.630709,1.862254,0.9811070000000015,0.46165900000000093,0.3351149999999983,elliptical
19.517641,17.956909,16.971954,16.473595,16.143818,2.343885,6.636255,2.8313057167907125,0.621248,1.5607320000000016,0.9849549999999994,0.49835900000000066,0.329777,elliptical
19.718489,17.874384,16.992718,16.597357,16.325508,1.306153,4.023426,3.0803634796229846,0.613969,1.8441050000000025,0.8816659999999992,0.3953610000000012,0.27184899999999956,elliptical
19.102747,17.819292,17.019644,16.628723,16.296865,2.413874,7.741452,3.2070654889194716,0.72915,1.283455,0.7996480000000012,0.39092099999999874,0.33185800000000043,elliptical
17.661512,16.547447,16.136553,15.820423,15.854403,4.391799,11.664248,2.6559157192758596,0.414646,1.114065,0.410893999999999,0.31612999999999936,-0.03397999999999968,spiral
15.940952,14.386583,13.628682,13.130531,12.898713,9.216245,30.041273,3.25960008658624,0.575067,1.5543689999999994,0.7579010000000004,0.498151,0.23181799999999875,spiral
19.019278,17.349213,16.363379,15.930343,15.595142,2.128922,6.765136,3.177728446603492,0.626915,1.670065000000001,0.9858340000000005,0.43303599999999776,0.3352010000000014,elliptical
19.565451,17.783745,16.885653,16.594294,16.263422,1.315356,4.524672,3.439883955370257,0.531002,1.7817059999999998,0.8980919999999983,0.2913589999999999,0.33087200000000294,elliptical
18.144123,17.025997,16.49721,16.189886,16.099524,3.314273,7.354566,2.2190585989747977,0.409097,1.1181260000000002,0.5287870000000012,0.3073239999999977,0.0903620000000025,spiral
19.159353,17.08905,16.175343,15.757045,15.485869,2.531287,7.843842,3.0987564823743816,0.686707,2.070302999999999,0.9137069999999987,0.41829800000000184,0.2711760000000005,elliptical
19.183186,17.417274,16.51276,16.115734,15.824262,1.723812,4.862778,2.8209445113504255,0.524503,1.7659120000000001,0.9045139999999989,0.3970260000000003,0.2914720000000006,elliptical
18.67063,17.289267,16.572578,16.175192,15.999325,2.397711,6.325325,2.638068140822643,0.585504,1.3813630000000003,0.7166889999999988,0.3973860000000009,0.17586699999999844,elliptical
19.57012,17.620132,16.805141,16.385717,16.069473,1.821871,4.902673,2.6910099562482745,0.701931,1.9499879999999976,0.8149910000000027,0.41942399999999935,0.3162440000000011,elliptical
19.365591,17.420256,16.501265,16.069014,15.722657,1.710483,5.095041,2.978714784069763,0.383821,1.945335,0.9189909999999983,0.43225100000000083,0.34635699999999936,elliptical
18.006031,16.434475,15.660423,15.280693,14.974315,2.486033,6.788068,2.7304818560332866,0.303512,1.571556000000001,0.7740519999999993,0.37973000000000035,0.3063779999999987,elliptical
17.767683,16.657537,16.200729,15.979948,16.027641,5.816296,12.958029,2.2278833470648673,0.4066,1.1101460000000003,0.4568080000000023,0.22078099999999878,-0.047692999999998875,elliptical
19.985319,18.517588,17.288485,16.79047,16.336716,1.936706,6.155496,3.1783326947920854,0.842236,1.4677310000000006,1.2291029999999985,0.4980150000000023,0.453754,elliptical
19.369635,17.778872,16.971966,16.561867,16.2689,1.743105,5.104469,2.9283772348768435,0.989494,1.590762999999999,0.8069060000000015,0.4100989999999989,0.29296700000000087,elliptical
19.535374,17.842474,16.903009,16.529184,16.283772,2.237553,6.77318,3.0270478509335867,0.691709,1.6929000000000016,0.9394649999999984,0.3738250000000001,0.24541200000000174,elliptical
